Lote;Registro Sanitario;RUC ; C¢digo Cliente ; Proveedor ; Raz¢n Social ;Fecha Ingreso ; Fecha Vcto ;T. Documento ; Nø de Documento ; C¢digo Interno ;Unidad (UND) ; UM ; Temp. ;Cant.Bulto;Cant. Cajas ;Cant.x Caja;Cant.Fracci¢n; Cantidad Total ;Fabricante ; Procedencia ; Observaciones
SM0612-062215;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0118;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062216;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0119;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062217;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0120;UND;;15¦ 25¦ C;1;1;24;0;24;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062218;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0121;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062219;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0122;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062220;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0123;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062221;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0124;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062222;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0125;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062223;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0126;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062224;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0127;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062225;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0128;UND;;15¦ 25¦ C;1;1;42;0;42;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062226;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0129;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062227;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0130;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
SM0612-062228;;20608438018;CLI-8018-001;SUNMED INSTRUMENTS;SUMEDIN S.A.C.;24/06/2025;N/A;Invoice;SI 06:12;INT-P0131;UND;;15¦ 25¦ C;1;1;12;0;12;SUNMED INSTRUMENTS;PAKISTAN;
